# time	Xh_Frames	P100_Output	Drive_Eh1	Laser_probe	
6.270787499999999929e-07	-8.203124999999644729e-03	-2.921874999999962697e-03	1.390624999999978684e-03	-1.789062499999993783e-03
6.271187500000000383e-07	-1.492187499999975131e-02	-4.140625000000008882e-03	4.531249999999986677e-04	-1.242187500000019318e-03
6.271587499999999777e-07	-3.546874999999971578e-02	-5.671874999999992895e-03	1.124999999999987121e-03	-1.640625000000006661e-03
6.271987500000000231e-07	-2.304687499999991118e-02	-4.749999999999976463e-03	3.218749999999992450e-03	9.609374999999809042e-04
6.272387500000000684e-07	-4.765624999999662492e-03	1.593750000000004885e-03	3.874999999999961808e-03	2.101562499999987121e-03
6.272787500000000079e-07	-1.906249999999998224e-02	-1.562499999999966693e-03	2.484374999999983125e-03	1.304687499999984679e-03
6.273187500000000533e-07	-1.101562499999975131e-02	-1.703124999999972022e-03	1.015624999999964473e-03	2.062499999999994893e-03
6.273587499999999928e-07	-6.796875000000035527e-03	-2.656249999999915623e-04	-3.718750000000048406e-03	2.460937499999982236e-03
6.273987500000000381e-07	-3.226562499999996447e-02	1.953125000000000000e-03	-4.843750000000368594e-04	2.867187500000006883e-03
6.274387499999999776e-07	-2.570312499999971578e-02	1.624999999999987566e-03	3.187499999999954259e-03	2.710937499999982458e-03
6.274787500000000229e-07	-3.328124999999992895e-02	-5.453125000000003109e-03	5.046874999999950706e-03	-7.500000000000006661e-04
6.275187500000000683e-07	-6.406249999999946709e-03	-3.468749999999964917e-03	4.140624999999953371e-03	-4.531249999999986677e-04
6.275587500000000078e-07	-1.593749999999971578e-02	1.906249999999998224e-03	-3.718750000000048406e-03	-5.468750000000022204e-04
6.275987500000000531e-07	-3.742187499999971578e-02	4.843750000000368594e-04	-4.437500000000038636e-03	4.531249999999986677e-04
6.276387499999999926e-07	-2.648437499999989342e-02	8.906250000000337508e-04	-5.921875000000020872e-03	3.828124999999960032e-04
6.276787500000000380e-07	-6.562499999999804601e-03	-5.234375000000013323e-03	-2.546875000000003997e-03	-4.687500000000177636e-04
6.277187499999999775e-07	-1.492187499999975131e-02	-3.312499999999996003e-03	1.765624999999992895e-03	2.367187500000006439e-03
6.277587500000000228e-07	-5.703124999999698019e-03	1.046875000000002665e-03	1.578124999999985789e-03	2.624999999999988454e-03
6.277987500000000682e-07	-2.953124999999978684e-02	-6.875000000000075495e-04	-2.937500000000037303e-03	9.218749999999886757e-04
6.278387500000000076e-07	-2.328124999999969802e-02	5.781249999999849010e-04	-1.421875000000016875e-03	5.234375000000013323e-04
6.278787500000000530e-07	-3.523437499999992895e-02	-4.953125000000002665e-03	2.828124999999959144e-03	-8.593749999999955591e-04
6.279187499999999925e-07	-1.187499999999985789e-02	-3.578124999999987566e-03	1.421874999999961364e-03	4.968749999999994005e-03
6.279587500000000378e-07	1.109375000000012434e-02	1.562500000001909584e-05	-7.171875000000049738e-03	1.101562499999986233e-03
6.279987499999999773e-07	1.570312500000037303e-02	-1.609374999999968470e-03	-9.187500000000015099e-03	3.828124999999960032e-04
6.280387500000000227e-07	-2.828125000000003553e-02	7.343750000000093259e-04	-1.050000000000000933e-02	1.640625000000062172e-04
6.280787500000000680e-07	-4.414062499999982236e-02	-3.781250000000013767e-03	-1.406250000000053291e-04	-5.000000000000004441e-04
6.281187500000000075e-07	-5.367187500000003553e-02	-2.921874999999962697e-03	3.218749999999992450e-03	2.554687499999985789e-03
6.281587500000000529e-07	-1.171874999999822364e-03	-5.484374999999985789e-03	-1.546875000000003109e-03	1.476562500000000444e-03
6.281987499999999923e-07	1.710937499999998224e-02	-3.281250000000124345e-04	-7.968750000000301981e-04	-5.234375000000013323e-04
6.282387500000000377e-07	-5.312500000000053291e-03	4.093750000000007105e-03	7.812499999999555911e-04	7.890624999999928946e-04
6.282787499999999772e-07	-2.171874999999978684e-02	-7.968749999999746869e-04	4.156249999999972466e-03	-2.421875000000017764e-03
6.283187500000000225e-07	-7.812499999997335465e-04	-2.656249999999971134e-03	5.468750000000022204e-04	7.812499999999833467e-04
6.283587500000000679e-07	-1.835937499999973355e-02	-3.078124999999987121e-03	3.890624999999980904e-03	1.921874999999989564e-03
6.283987500000000074e-07	-7.656249999999698019e-03	-4.656249999999972911e-03	-3.968750000000020872e-03	4.445312499999992673e-03
6.284387500000000527e-07	-3.031249999999996447e-02	-3.109374999999969802e-03	-1.546875000000003109e-03	1.468749999999990896e-03
6.284787499999999922e-07	-2.312499999999984013e-02	-7.765624999999998224e-03	3.937499999999982681e-03	-2.187500000000175415e-04
6.285187500000000376e-07	-7.421874999999911182e-03	-1.224999999999998312e-02	1.609374999999968470e-03	-2.109375000000079936e-04
6.285587499999999770e-07	4.609375000000248690e-03	-2.296874999999976019e-03	2.406249999999998668e-03	1.890625000000006883e-03
6.285987500000000224e-07	3.515625000000355271e-03	-1.093750000000004441e-03	2.874999999999960920e-03	1.023437500000001776e-03
6.286387500000000677e-07	-9.296874999999982236e-03	1.781250000000011990e-03	2.656249999999971134e-03	-9.843750000000095479e-04
6.286787500000000072e-07	-2.585937500000001776e-02	-2.546875000000003997e-03	1.562499999999966693e-03	1.093749999999948930e-04
6.287187500000000526e-07	-5.374999999999996447e-02	-8.640625000000012879e-03	1.015624999999964473e-03	-7.812500000009547918e-06
6.287587499999999921e-07	-1.015624999999964473e-03	1.640625000000006661e-03	1.515624999999964917e-03	7.187499999999902300e-04
6.287987500000000374e-07	6.093750000000230926e-03	3.843750000000034639e-03	1.531249999999984013e-03	9.765625000000000000e-04
6.288387499999999769e-07	1.687500000000019540e-02	1.109375000000023537e-03	-3.781250000000013767e-03	4.218749999999882316e-04
6.288787500000000222e-07	-2.867187499999968026e-02	-6.718749999999995559e-03	-8.125000000000492939e-04	-5.468750000001132427e-05
6.289187500000000676e-07	-4.585937500000003553e-02	-7.109374999999973355e-03	3.640624999999952927e-03	2.218749999999991562e-03
6.289587500000000071e-07	-3.031249999999996447e-02	-5.656249999999973799e-03	3.593749999999951150e-04	1.101562499999986233e-03
6.289987500000000524e-07	-1.882812499999975131e-02	-7.968749999999746869e-04	-3.937500000000038192e-03	1.906249999999998224e-03
