# time (ps)	level	
6.562500000000000000e+04	0.000000000000000000e+00
6.575000000000000000e+04	0.000000000000000000e+00
6.587500000000000000e+04	0.000000000000000000e+00
6.600000000000000000e+04	0.000000000000000000e+00
6.612500000000000000e+04	0.000000000000000000e+00
6.625000000000000000e+04	0.000000000000000000e+00
6.637500000000000000e+04	0.000000000000000000e+00
6.650000000000000000e+04	0.000000000000000000e+00
6.662500000000000000e+04	0.000000000000000000e+00
6.675000000000000000e+04	0.000000000000000000e+00
6.687500000000000000e+04	0.000000000000000000e+00
6.700000000000000000e+04	0.000000000000000000e+00
6.712500000000000000e+04	0.000000000000000000e+00
6.725000000000000000e+04	0.000000000000000000e+00
6.737500000000000000e+04	0.000000000000000000e+00
6.750000000000000000e+04	0.000000000000000000e+00
6.762500000000000000e+04	0.000000000000000000e+00
6.775000000000000000e+04	0.000000000000000000e+00
6.787500000000000000e+04	0.000000000000000000e+00
6.800000000000000000e+04	0.000000000000000000e+00
6.812500000000000000e+04	0.000000000000000000e+00
6.825000000000000000e+04	0.000000000000000000e+00
6.837500000000000000e+04	0.000000000000000000e+00
6.850000000000000000e+04	0.000000000000000000e+00
6.862500000000000000e+04	0.000000000000000000e+00
6.875000000000000000e+04	0.000000000000000000e+00
6.887500000000000000e+04	0.000000000000000000e+00
6.900000000000000000e+04	0.000000000000000000e+00
6.912500000000000000e+04	0.000000000000000000e+00
6.925000000000000000e+04	0.000000000000000000e+00
6.937500000000000000e+04	0.000000000000000000e+00
6.950000000000000000e+04	0.000000000000000000e+00
6.962500000000000000e+04	0.000000000000000000e+00
6.975000000000000000e+04	0.000000000000000000e+00
6.987500000000000000e+04	0.000000000000000000e+00
7.000000000000000000e+04	0.000000000000000000e+00
7.012500000000000000e+04	0.000000000000000000e+00
7.025000000000000000e+04	0.000000000000000000e+00
7.037500000000000000e+04	0.000000000000000000e+00
7.050000000000000000e+04	0.000000000000000000e+00
7.062500000000000000e+04	0.000000000000000000e+00
7.075000000000000000e+04	0.000000000000000000e+00
7.087500000000000000e+04	0.000000000000000000e+00
7.100000000000000000e+04	0.000000000000000000e+00
7.112500000000000000e+04	0.000000000000000000e+00
7.125000000000000000e+04	0.000000000000000000e+00
7.137500000000000000e+04	0.000000000000000000e+00
7.150000000000000000e+04	0.000000000000000000e+00
7.162500000000000000e+04	0.000000000000000000e+00
7.175000000000000000e+04	0.000000000000000000e+00
7.187500000000000000e+04	0.000000000000000000e+00
7.200000000000000000e+04	0.000000000000000000e+00
7.212500000000000000e+04	0.000000000000000000e+00
7.225000000000000000e+04	0.000000000000000000e+00
7.237500000000000000e+04	0.000000000000000000e+00
7.250000000000000000e+04	0.000000000000000000e+00
7.262500000000000000e+04	0.000000000000000000e+00
7.275000000000000000e+04	0.000000000000000000e+00
7.287500000000000000e+04	0.000000000000000000e+00
7.300000000000000000e+04	0.000000000000000000e+00
7.312500000000000000e+04	0.000000000000000000e+00
7.325000000000000000e+04	0.000000000000000000e+00
7.337500000000000000e+04	0.000000000000000000e+00
7.350000000000000000e+04	0.000000000000000000e+00
7.362500000000000000e+04	0.000000000000000000e+00
7.375000000000000000e+04	0.000000000000000000e+00
7.387500000000000000e+04	0.000000000000000000e+00
7.400000000000000000e+04	0.000000000000000000e+00
7.412500000000000000e+04	0.000000000000000000e+00
7.425000000000000000e+04	0.000000000000000000e+00
7.437500000000000000e+04	0.000000000000000000e+00
7.450000000000000000e+04	0.000000000000000000e+00
7.462500000000000000e+04	0.000000000000000000e+00
7.475000000000000000e+04	0.000000000000000000e+00
7.487500000000000000e+04	0.000000000000000000e+00
7.500000000000000000e+04	0.000000000000000000e+00
7.512500000000000000e+04	0.000000000000000000e+00
7.525000000000000000e+04	0.000000000000000000e+00
